Family,Genus,Infrageneric Level I,Infrageneric Level II,Infrageneric Level III,Infrageneric Level IV,Species,Common Name
,,,,,,cooperi,Cooper's pine
,,,,,,devoniana,Michoacan pine
,,,,,,douglasiana,Douglas pine
,,,,,,durangensis,Durango pine
,,,,,,engelmanii,Apache pine
,,,,,,hartwegii,Mexican mountain pine
,,,,,,maximinoi,Thinleaf pine
,,,,,,montezumae,Montezuma pine
,,,,,,ponderosa,Ponderosa pine
,,,,,,ponderosa ssp. benthamiana,Pacific pine
,,,,,,ponderosa ssp. washoensis,Washoe pine
,,,,,,pseudostrobus,Mexican smoothbark pine
,,,,,,pseudostrobus var. apulcensis,Oaxacan pine
,,,,,,scopulorum,Rocky Mountain yellow pine
,,,,,,stormiae,Royal pine
,,,,,,yecorensis,Sonora pine
,,,,,,yecorensis var. sinaloensis,Sinaloa pine
,,,,Subsection Sabinianae,,,
,,,,,,coulteri,Coulter pine
,,,,,,jeffreyi,Jeffrey pine
,,,,,,sabiniana,Gray pine
,,,,,,torreyana,Torrey pine
,,Subgenus Strobus,,,,torreyana var. insularis,Island Torrey pine
,,,Section Nelsonia,,,,
,,,,,,nelsonii,Nelson's pine
,,,Section Parrya,,,,
,,,,Subsection Balfourianae,,,
,,,,,,aristata,Rocky Mountain bristlecone pine
,,,,,,balfouriana,Northern foxtail pine
,,,,,,balfouriana ssp. austrina,Southern foxtail pine
,,,,,,longaeva,Great Basin bristlecone pine
,,,,Subsection Cembroides,,,
,,,,,,cembroides,Mexican pinyon
,,,,,,cembroides ssp. lagunae,Laguna pinyon
,,,,,,culminicola,Potosi pinyon
,,,,,,discolor,Border pinyon
,,,,,,edulis,Colorado pinyon
,,,,,,johannis,Dwarf pinyon
,,,,,,monophylla,Singleleaf pinyon
,,,,,,monophylla var. californiarum,California singleleaf pinyon
,,,,,,monophylla var. fallax,Arizona singleleaf pinyon
,,,,,,orizabensis,Orizaba pinyon
,,,,,,quadrifolia,Parry pinyon
,,,,,,remota,Texas pinyon
,,,,Subsection Rzedowskiae,,,
,,,,,,maximartinezii,Bigcone pinyon
,,,,,,pinceana,Weeping pinyon
