species-name,common-name,family-name,genus-name,infrageneric-level-I,infrageneric-level-II,infrageneric-level-III
ponderosa,Ponderosa pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
ponderosa ssp. benthamiana,Pacific pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
ponderosa ssp. washoensis,Washoe pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
pseudostrobus,Mexican smoothbark pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
pseudostrobus var. apulcensis,Oaxacan pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
scopulorum,Rocky Mountain yellow pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
stormiae,Royal pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
yecorensis,Sonora pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
yecorensis var. sinaloensis,Sinaloa pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
coulteri,Coulter pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Sabinianae
jeffreyi,Jeffrey pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Sabinianae
sabiniana,Gray pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Sabinianae
torreyana,Torrey pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Sabinianae
torreyana var. insularis,Island Torrey pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Sabinianae
nelsonii,Nelson's pine,Pinaceae,Pinus,Subgenus Strobus,Section Nelsonia,
aristata,Rocky Mountain bristlecone pine,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Balfourianae
balfouriana,Northern foxtail pine,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Balfourianae
balfouriana ssp. austrina,Southern foxtail pine,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Balfourianae
longaeva,Great Basin bristlecone pine,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Balfourianae
cembroides,Mexican pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
